trial,state,mAP50_95,param_optimizer,param_lr0,param_lrf,param_momentum,param_weight_decay,param_warmup_epochs,param_cos_lr,actual_epochs,f1,inference_ms_per_image,mAP50,mAP75,precision,recall,train_minutes
21,COMPLETE,0.46954341460649723,SGD,0.0023532568103047853,0.7669976018075697,0.9131507223449581,1.1192566510926453e-05,2.2239102705768925,True,15.0,0.4857202811518204,4.986048841499935,0.4835017683446288,0.48200813054319425,0.47629476588737635,0.4955263755093691,86.31257551499996
8,COMPLETE,0.43787329171815004,AdamW,0.0011290133559092666,0.07591104805282695,0.7341707057565381,3.058656666978529e-05,0.17194260557609198,False,15.0,0.47546807896036514,6.884631894603497,0.4534488850883974,0.45058571774743367,0.460524947511799,0.4914134828062296,86.09751050166669
12,COMPLETE,0.4255355554991834,SGD,0.001319994226153501,0.2870875348195467,0.9159556970720648,1.6677615430197902e-06,1.7923286427213632,True,15.0,0.4398672377796257,5.112512312586562,0.4372533673799978,0.434484464246195,0.4219580743465774,0.45936402155371886,80.7637888983331
6,COMPLETE,0.42377651919646186,AdamW,0.000684792009557478,0.01901024531987036,0.781800501589861,1.2562773503807034e-05,2.28034992108518,False,15.0,0.4506699416316219,6.875148023661455,0.4379775286592048,0.43464546794685033,0.45595104029221095,0.44550977991669405,86.11961990000006
28,PRUNED,0.4237609238698521,SGD,0.004485675955893823,0.17696132419099211,0.8152046733781104,2.0077644915208145e-05,4.018508427700258,True,,,,,,,,
9,COMPLETE,0.40129612938924164,AdamW,0.00036324869566766035,0.12399967836846093,0.7517592475471475,0.0008105016126411582,3.8756641168055728,False,15.0,0.4225510693156569,7.016193457526045,0.41355092398469756,0.41016544250142756,0.4024222259392651,0.44479959539727926,86.51273200666655
11,COMPLETE,0.3797361516499073,AdamW,0.00042470585622618684,0.019135880487692304,0.9246151546111311,1.6736010167825795e-06,4.9344346830025865,False,15.0,0.39719950911317586,4.851500136278035,0.392586468434018,0.38874133230994046,0.3906483945081544,0.4039740936817386,86.28820066999991
27,PRUNED,0.36438479760741244,SGD,0.0016041696864854717,0.23469153740944687,0.8968789258187976,0.00010179073576427261,4.9152524861371045,True,,,,,,,,
18,PRUNED,0.3372597472984081,SGD,0.00086694665841162,0.07645815137985627,0.9057246614044916,5.0415198267373376e-05,2.0417577350477445,True,,,,,,,,
4,COMPLETE,0.30850441548432117,SGD,0.001570297088405539,0.15751320499779725,0.7436852193238822,2.9375384576328313e-06,0.2904180608409973,False,15.0,0.3405413356029678,7.2122682871451635,0.3178216229151619,0.3150179273970274,0.2994663892220665,0.3946751604176337,88.75431468166661
14,PRUNED,0.20519731637495736,AdamW,0.003695665216691271,0.6360737249032199,0.702113249408562,0.00011296128986827044,0.7613488583538435,False,,,,,,,,
13,PRUNED,0.07393058333481914,AdamW,1.551225912648474e-05,0.04187594718900627,0.7910513301674891,0.0001544608907504709,3.1877873567760657,False,,,,,,,,
5,COMPLETE,0.06750588845852082,AdamW,0.008123245085588688,0.46225890010208287,0.7594549509899173,3.5113563139704077e-06,0.9170225492671691,True,15.0,0.14364233982319724,6.856605270339304,0.07706589773635034,0.0751413382938997,0.24706174151245405,0.1012565934573498,85.85483529666672
7,COMPLETE,0.004790967726007205,SGD,1.3783237455007187e-05,0.16409286730647918,0.7477467546324416,1.5673095467235414e-06,4.7444276862666666,False,15.0,0.017741658349657952,6.879289504728774,0.0049562342651814405,0.004871593223521278,0.00931607584895791,0.18560793878479268,85.96214064166658
10,PRUNED,0.0037108387162498265,SGD,1.8427970406864546e-05,0.024658447214487383,0.7126636408949506,9.462175356461487e-06,1.9433864484474102,True,,,,,,,,
0,FAIL,,SGD,0.001570297088405539,0.15751320499779725,0.7436852193238822,2.9375384576328313e-06,0.2904180608409973,False,,,,,,,,
1,FAIL,,SGD,0.001570297088405539,0.15751320499779725,0.7436852193238822,2.9375384576328313e-06,0.2904180608409973,False,,,,,,,,
2,FAIL,,SGD,0.001570297088405539,0.15751320499779725,0.7436852193238822,2.9375384576328313e-06,0.2904180608409973,False,,,,,,,,
3,FAIL,,SGD,0.001570297088405539,0.15751320499779725,0.7436852193238822,2.9375384576328313e-06,0.2904180608409973,False,,,,,,,,
